-7580.70548095113-6616.47276550844i
-4662.14720785758-13589.5328940881i
-13576.6785122697-1652.20112167506i
10605.2116883426-7386.4594175956i
3172.89998504087+3994.54238788698i
-5404.52120630649+14139.3413829117i
8111.98910314384+13098.6203254381i
-1730.73583479788-1219.48288028837i
3749.51020098297+224.56250902642i
11455.9068786012+10987.2211730279i
-7866.78067082694+18580.8348036659i
3193.10546542834-2527.36367743728i
1334.82917887406+6603.41539069944i
-3165.41515213373-4176.40581567649i
12690.3985339263+4630.57276370727i
-3041.23384402303+2472.2761680068i
-164.232657687643+7240.62185599096i
-5666.82190734624-2738.75650019892i
11205.4297759963+342.777271071946i
-8780.69405602094+9355.69230920093i
1331.4010584348-55.5474365491619i
-250.721641777856-357.04044238683i
-3089.56614786441-26994.3049671253i
10712.2801146251-6278.60044606723i
-1511.25237664158+16087.5360992194i
-6255.1109575407-17681.5690787511i
-4840.03920928434-16414.1569810408i
-5.38588062875637-62.6633526550742i
29.0808191911318-7.45665475754639i
-604019.307237733-527970.229880706i
174536.857181321-831496.322412533i
174808.722704892+701278.194477897i
465284.09502792+634022.719740661i
-149817.05830517+198659.1956285i
365202.407317513-706467.22957949i
-649218.530482533-139262.469725692i
-122602.238470271-175181.029666807i
142797.766368573+119088.263281185i
-814540.392972857+464244.495444286i
774501.100677462-423079.597711234i
260296.629342251-46173.2000923811i
24153.8213136219+388184.683910714i
-36692.2846606398-255517.114243838i
-355981.787888528+1111791.91725435i
165287.790029413+215900.549816871i
193002.213171339+414418.623056483i
-378631.125830393+14825.9002550203i
391977.76481969-75877.5631021924i
-114221.759063768+327378.974143882i
112615.047625776+84800.1913747432i
-37957.4212916091+2430.58912437765i
-890311.858893527+108586.100350939i
266303.819882854-530852.156678291i
98180.8066149675+665820.389241987i
-391480.77834062-435809.434626633i
933690.480828211-1293391.14808233i
780.332917053217-7794.6373787511i
2054.89258457434-2558.6536735051i
