5344.98541355655-3711.46306412218i
5343.61953448976+4622.4411427768i
-2932.25024305456-7244.53330386726i
-5724.89794097666+1092.35519574024i
-1029.72607315033+801.506153453639i
-3579.0218811437+6377.80134870733i
4030.8178691648-3978.93276460006i
507.432201425842+384.06014009882i
-134.270913004297-584.971258821415i
7136.32194416073-3227.80231348302i
-1469.18630079211+4975.24119335067i
-556.068083203555+412.951946913146i
-856.709340277464+614.234746348025i
-680.781214242755+588.353944772025i
-7602.329567694-597.380733712929i
-0.766240032287897-4566.49037696168i
431.991142965233-912.123643148145i
-442.351829676014+96.7165744294643i
-286.317172170718+513.761128935459i
1562.21439621959+89.0837987507284i
7251.98187221506+2711.97526452308i
1080.25901783814+4649.10283703112i
557.768812042475+936.680987781401i
-131.638363877965-265.004530945253i
-883.080337023074+571.861629229609i
273.123378823948+485.577758239784i
-649.884991627309-1338.55540334111i
-7166.40638173643-5524.56029856353i
-2805.2349111977-3913.24279445226i
-312.257818149264-83.2685922285655i
429.542583466915-439.546895922722i
-848.391056895057-126.278151115178i
-366.38213490703+1017.32071128407i
1037.80986389456-25.4209895538297i
171.105124539103+281.398596152721i
4644.15262467777+8536.92302780066i
3225.36002853511+2157.25756964778i
-64.0543442713449+911.840175544263i
811.277095047976+417.264204189346i
-175.808955691557-802.771151519455i
-1254.8208000906+708.8926704235i
767.423757750986+967.046130722083i
476.360784842495-1354.18350895849i
-1614.42689792394-1102.83929053738i
-1007.61518003924-9115.86962277719i
-2880.98574861695-1354.75917403355i
-1403.11621529545-809.435830860307i
-5.2244035492854+994.120406115389i
872.499019530336-655.645883900199i
-1379.71690896428-501.078797335241i
-489.095998428381+1721.51088548841i
1697.8163693238-190.205218397696i
-1032.79580579648-1230.80328934165i
-338.983737500354+3090.19616077261i
-1951.085004109+9766.51799306044i
3811.33414414237-26.5227959908589i
890.731138327698-1030.27201642203i
-1052.73339089721+769.725019864522i
1357.15275565749+626.726415172522i
-217.598526692711-1600.48309690271i
-2026.70685520266+996.195975911915i
1427.34843090403+1754.35044503708i
1005.22270090683-2179.75695142417i
-2349.80120073781+217.705333662017i
2760.95822629939-311.004849760473i
7398.74613170871-9045.8261780464i
-3503.89595131758+3112.49107330188i
1094.87178454269+75.1396813530048i
-1638.20978292816-1019.91613088214i
125.830517748716+1963.36655521895i
1677.73033520151-1182.90821072658i
-2270.42160856861-1144.23713776881i
-782.336796355183+2910.31407514342i
3070.38700987865-325.605430791239i
-1943.66618104825-2689.47482078032i
-788.360383775635+3675.04659118722i
411.217901948828-2199.97163177486i
-15434.8855370477-10274.9483240534i
-5905.20801810847-2639.32461201429i
360.925694150745+1869.1231614839i
741.028600514285-2471.03069970078i
-2243.6406190381+1373.70915137116i
2466.08473389024+1173.43000304428i
-213.00967920595-2975.64776215193i
-3438.59965012256+1479.1996869596i
2512.63310410757+3126.10087891063i
1919.66083177434-3906.34797643601i
-4745.45137658841+729.676825782024i
5127.65587461188+2263.69277774493i
-5162.17249257558-1914.26833785046i
-3339.69380300153+748.766705772728i
-699.333326613879-666.148776410468i
-3636.44577936292-350.229420090903i
3618.39753770053+147.612718411005i
-3037.74817418829-2071.0435757619i
237.467370390195+3673.90931366091i
3146.13103050808-2112.34432062655i
-3793.80674322108-2286.17093951038i
-1404.2590288746+4950.90667190406i
5539.90099200437-451.718465934098i
-3484.6054037203-5236.40785950573i
-1715.76940497314+7249.17924881063i
4646.89125350165-8273.61169457621i
12995.9233100602+18232.6920173879i
109.377064170858+198.077802368653i
38.0771205042936-50.3766881330754i
9204.55003262338-1839.84398339931i
118.839084988476+5851.48681874144i
1359.32777902764-5180.7359135752i
-4341.36007412626+2641.06184214079i
4525.62125147556+2194.91726790815i
-128.483932864719-5385.25289707555i
-85642.7502731004-44006.0233426659i
23523.7039547977-107074.32633322i
-74795.4311169705+83410.940090033i
59103.2721322112+73195.1245453251i
14153.0207168793+10164.88111256i
97989.312567977+10648.6693183387i
-91519.6379052356-30071.3917019168i
-2265.55009911026-10880.8311629101i
-7903.00131417021+9793.25135886345i
-71396.9416603555-66210.1072972597i
95621.5186494176-16378.9001608827i
9996.51453885629+963.387862479442i
8677.46092207219+9207.35760567646i
13179.1677633955+9107.16693833384i
31146.6961820983+86174.5354442538i
-79740.9892714781+46765.8694865677i
-13136.2290325421-542.153773402439i
-1088.79117397241+2342.74367212208i
5820.59054137399+7167.03626407595i
-1747.51130013518-17808.3518236198i
