-30187.7544713896+19586.9641161635i
6125.76474280204-215299.063126061i
-226833.469956852-246425.4169851i
80.0559508352182-159.612463838524i
-98176.6823308874-354172.592255311i
-37748.7280891282+6981.49114516122i
2586.34752915615+9525.14956175857i
210686.34030507+353211.062103744i
192947.788753528+429852.683884092i
1882.32605478774+2907.60699847714i
-2606.06904573956-3246.11278987563i
-199.766246063931+200.034651419573i
-18556.1529489944-2962.19513449893i
56650.9486583129+105532.592996822i
-166792.858571479-335554.905734382i
-13648.91561091+1461.16454478036i
-2016.18033928191+4988.34862253301i
127868.743048619+26678.8590252786i
-356.828817933929+952.304086856348i
-2932.89158555492-6736.10053754391i
83439.1575384346+103146.984890826i
-64238.8151613407+18788.7912555231i
21.9311606364924-0.966500792579041i
-87.1532987315341+164.938458477195i
-127356.977895665+121419.445796507i
109449.846099705-40841.4569088385i
