1618.63798280495+2266.06640302309i
473.911565585657+3965.25627346614i
3396.82224935464+2116.99736284401i
-3590.93597630511+1899.8994501883i
-943.898557823035-1331.26283301664i
3449.91979627876-1155.42869619917i
-2512.27231911543-2664.55544069379i
-209.195502534524-382.124408738193i
-908.603099094938-467.336124691989i
1620.40047971024-1577.32846063995i
-209.889475586336-2453.27923892364i
412.98726018024+212.350165380749i
-527.031564868224-1155.20758789761i
-1139.23396963171+1614.16679646344i
45.493023126251-216.404602756128i
142.317154468974-200.851482921018i
-338.867169403939+1668.43475545082i
-431.993161314894-908.607918261383i
-1877.85443171186-1630.89953205066i
-2412.67183082353-336.704167111481i
-11.1390010544819-0.0815996528308602i
7.71566110630451+9.74676531211907i
2057.47226911532+1458.88617356291i
1887.90869492029-731.73205818958i
-41304.2517735157+12259.0503182245i
-8592.62431583351+698.577574301846i
18.8648052356911+45.4435018003283i
19588001.697554+1306990.42980747i
23.7707540180045+26.4935214065495i
-1873.48150941117+1515.06349730355i
-514.164976192288-1.40389145209217i
-32340474.4165865-10633744.704113i
5.87525774044381-7.97559783583405i
-1791.3941170409+16423.5055063985i
-0.000551680983246509+0.000456432907377633i
-148.602684364634+52.8761987242804i
-61045.8004292182+71589.0813282013i
15529210.5636769-3171059.01319918i
-0.812147403740856+1.70789745139806i
-105044.232718415-3727.67823357682i
2472346.64397563+1816762.1933934i
-253.703635673732-426.662167685354i
72095.0901985846+119960.35358209i
-2670.91744282777-1357.91370573318i
-2242030.98077996+1470961.0055739i
-2726708.02899697+9137403.97369524i
0.212743174342114+0.163628872467728i
-129249.300788186-144364.567739111i
