-33566.078751567+64949.7803077545i
-87260.9369692353-12732.8864093028i
-11543.5352157085-4115.64837381919i
-1282.23406136044-82.378697398749i
96137.113364992-47332.2602037685i
-450.165336066763-95.5546863655941i
23.12111451498-85.5576587117218i
38388.8049537059-14939.9336042658i
-451.64418689448+14409.6524405299i
1.71477810252135+20.776393823802i
3.84031614120262+4.01054832176754i
-15.5318873356032-66.5312211519814i
-201.636472357337-1028.59784373511i
4498.46915371188-5453.88063217058i
1.65744118589557-0.224489801808666i
-0.669409127339534+2.79136446543072i
-261.95479953884+3670.15073208289i
13740.0823843914+7509.40912358966i
-24619.3910970381+4930.61960690833i
1898.83214579585-4443.56298864179i
4186.41212585697-3699.54566786557i
773.735624780098-1420.62795821855i
