-22548.6342771267-20712.3719118471i
8349.27287301855-37251.888077632i
-36032.6932571374+11282.061971868i
27631.880166781+17717.3930152714i
4564.59955545565+5443.76653228481i
18620.9278292091+27402.3659640852i
-30660.9848354982+7331.47126298714i
-732.248181887638-3330.88008085672i
-2140.11655927177+1605.72937976408i
8517.24103265855-30100.7320478398i
19040.5324774457-26919.6767358597i
3982.54209306975-2588.70591746162i
2293.02773370836+4622.52529668788i
-97.1315694879567+3061.46451424273i
-32133.4883571127+15415.3794135479i
2306.73104976879+35637.9022008931i
531.209274499721+1634.08296968219i
-1710.13890878682+407.042688163512i
3019.73501096912+2547.83625747591i
-646.433796315931-2294.33655464393i
30683.6961513338+18409.6025663695i
-29836.0625091843-22961.0685269262i
2144.21169835954-462.687394132572i
-112.848441969493-4792.56497783364i
904.090183817191+6201.38104832007i
1148.44565779577-2960.25303740653i
-6982.21781778242+5267.27634254444i
5103.42568405692-42496.594904016i
43708.1740752485-15360.4518663133i
-2767.27959526842+7076.61755580443i
6625.94869891175-2394.02762392342i
-5752.4196227489+1131.42422464865i
7273.21455463267+3390.9939819475i
-7531.20792033646-2598.18921032564i
9977.74046408447+7559.5477288166i
-34958.3743883526-28412.2521533186i
36752.3842000601+37623.1196529292i
-7935.82795266036-8865.59823941988i
5277.84111650085+8783.25820474709i
-2084.55217992496-9858.99782301033i
-199.011764327639+11652.7333594588i
4403.22222491299-9562.80467983717i
-8143.80668851767+13375.1163746822i
5705.26534990952-18044.3365732086i
-5259.46113463444-534.330778855675i
822.339832672254+6601.18304875741i
19217.4877467359-4573.33306410162i
-13752.1451204009+9672.33487230072i
14793.4421481572-6551.98354502287i
-14618.5381339292+1909.39548091072i
16172.1652615974+5926.89153924395i
-17802.2632099947-9208.81587520319i
24327.0761868672+13335.7198128425i
8195.91560450166+54011.7713081241i
10.8533949434574+260.231820747038i
-346.236039398172-26.7495091423893i
-62080.2854584421-7505.03444434032i
-13089.3814647632-26505.3990882642i
13746.0007414443+21682.9058725594i
-5868.47181917646-22113.2266529996i
-2175.32684279072+24449.1312298431i
12146.947838373-23442.3661988562i
-12302.0885926835-8393.83415481844i
1993.12158558174-18207.2268782541i
-16254.4390211819+8375.17859322136i
13829.8414921883+7414.17349595852i
2564.65272516389+1992.59107265642i
11524.0830100184+11040.4108741986i
-14456.7891578197+4459.66921399775i
-219.931546079011-1632.25133670492i
-1214.19352224927+794.028407691416i
814.832843690119-15168.7708817334i
8149.53671825766-13057.2910799607i
1909.15778059496-936.766468227672i
1493.55570907574+1534.41775281922i
167.971057447413+1786.44021983411i
-12525.916911485+10584.4125243446i
1730.59181533926+15891.6910344622i
-347.114572213022+1038.31178103796i
-72.4429135116834+210.21017014001i
994.962372031351+725.459217455709i
194.067763930336-948.269688050398i
16122.5945665902+3638.26314115976i
-12906.3939902748-10142.2728051484i
550.653467488505-1042.15664764673i
10.378747103204-1278.4360799731i
1015.52601628709+1828.74874534108i
-44.2907038329654-596.8288564449i
-2011.02321115245+2087.47986501028i
-4742.33890688671-18292.0619447563i
18117.9993039523-5626.3856813009i
-142.234786579588+2569.37446842281i
1687.31809857192-717.655203192071i
-1108.2406503215+747.43983329421i
2277.67677156522+566.364124633858i
-2132.44224624708+176.286659810681i
3939.6156406465+1383.46871932559i
-18861.9650943593-3786.13084757226i
12172.1306650019+15999.8038959609i
-2918.17049034819-2488.60385506282i
1555.69325483453+2142.08427126325i
-841.166842976366-2405.45584869396i
1029.91802523511+3278.11976331747i
329.554782928834-2739.03217269742i
-729.194443432245+4453.42148848075i
-547.129179361367-5877.09131700789i
-2050.82952483822+1115.48819363753i
-274.368211262587+2500.50221570544i
5626.40250502943-1556.46430804187i
-3545.82416857074+2886.32390520998i
3753.46278785445-2197.88155435018i
-3477.10908513099+1521.62409446076i
4899.39732146026+482.456545803389i
-5636.55795348002-579.26949461951i
8247.82608097782+699.58729251632i
13651.0981599263+17022.5531423484i
81.4406107867109+89.0747936623661i
-121.225717194787-52.5498563167573i
-21507.5514642342-5651.69525366183i
-3855.92336801344-7374.05298078355i
4288.49347423575+5585.51728620501i
-2490.52592871931-5478.4333164751i
1364.36201240421+6852.4732937151i
1249.51019264766-7246.58158775188i
