0.0009576868361052+7.22292836345753e-05i
0.617197935746806+0.979263802159712i
1121.95109606988-883.549731434543i
-25715.3751026467+16650.0989856059i
286.90280537791+344.942260773447i
23830.2207950642-13282.7682682733i
-811.113120839041-152.781666779082i
24.1662916128457+26.6170020515166i
1262.6297954866-2703.53767690954i
-0.00122271484671034+0.00289461446221812i
0.182401791288228-0.476376213360372i
1.58572647747275+1.5121664203109i
-0.000887627973792493-0.0134066121140187i
0.106928276802112+0.0301742660893183i
8.01030355188012e-05-0.000495409951906555i
0.000287647917653077+0.00114267228676028i
-0.1407687065314+0.29793986757857i
-1.72735963488864-1.35404088251503i
