1313.94121827719+7072.99988355858i
-6356.08447793185+5606.06635289674i
9371.66954340454+3100.11382980887i
-3067.34070163107-6688.20397210362i
-746.719793062851-931.267891610455i
-94.2525502814315-9321.21340441309i
6944.31139639218+1342.84732691503i
-1439.27868997276+362.455729314836i
1217.68842579176+1042.22700599319i
-6659.52811745846+6561.28450454689i
-5110.37646819508+3917.36256982491i
-1099.37246434116-1519.48253148981i
-878.072403812803+212.275044419477i
1894.76587051547-1226.67314564038i
9919.80105402947-1283.15810944389i
2244.87173270197-5528.71799701751i
2020.3542279097-1129.89515162987i
-1958.05555572507-536.689345788555i
1066.96661652531+1085.00387871438i
-1063.18292788283-1382.23059470675i
-10319.2936430159-6034.44694043799i
263.164212404985+6993.19821262461i
1302.89755403606+2206.23350706183i
-673.480837501559-2407.19454909234i
-1462.66865001575+1538.86968975844i
2464.89513282398-770.946030185863i
-797.148365756094+129.26295933716i
4954.14418351826+14243.5364515423i
-7596.19614764916-6230.45818362741i
-1639.35075143062+1714.18186564019i
2837.02965351819-1790.8191930421i
-3523.23301579171-952.202839709287i
1965.59726805463+2457.37815380591i
5.32180691176382-3394.02771543493i
-1409.30103450719+1156.41520508968i
12994.3862682029-12296.4072880662i
14300.4050187975-2360.94094352681i
-3321.28773679706-833.485057355217i
3460.07921071397+3202.74763273531i
-924.37568613343-4851.04836259173i
-2775.49332377711+3663.80420707435i
4661.98698964525-1435.65938837616i
-4431.3938313038-1013.43049277224i
3375.37624908586+3181.55967562714i
-15209.323779079-18214.6152569694i
12264.6901520462+18834.6029827339i
1419.1020363202-5260.27897129538i
-3349.75193956745+5800.95770487328i
5867.74936693734-3465.73045016731i
-6795.06014008706-1665.98847657727i
3910.45920925811+5341.53853100306i
163.124254295733-7054.35218343681i
-2308.28077779323+6413.94278421166i
890.708141964172-3431.32743313782i
-3926.34529455496-1247.7980914509i
133.63607948327+3555.59378375785i
8817.19455429841+5843.04341977543i
-9480.41364284861-3617.86104719865i
7317.83262736439+6642.06046762244i
-1678.29119260531-9714.17800922938i
-5480.80765879875+7735.48817494619i
9564.38453815643-2771.31139149882i
-10218.0510448318-2618.54727846687i
10525.5377661962+3587.36197594279i
9493.3483251478+32259.9916040628i
-54.1828678957063+244.15169035075i
-217.65955459011-16.7446899040914i
-27672.6504750804-12730.2210008955i
6606.85982265407-15734.1397939987i
-7103.22756807847+13264.9985945499i
12118.3368349619-7130.24259984597i
-13443.1201172358-3089.87690384763i
7826.70553160992+11202.794692917i
580.862141132342-14999.7437147588i
-6327.17975370863+15982.1236486655i
-5470.35197707018-20816.9173175038i
9158.79980741037+17491.4569896225i
-14110.6761759336+19465.454408772i
24785.6200946887-112.250778485948i
-10915.7745465225-18231.1170958313i
-2442.71450347184-2661.85869144961i
-7908.72013857523-20189.0081851982i
20558.5134498608+4324.66673706771i
-2477.35563381216+1742.1519409063i
3035.17290246934+1225.30577257994i
-8498.76112470024+19436.7297440341i
-17325.7722204495+9871.46524521401i
-2991.22857469683-2576.54894595238i
-2128.22067464247-391.781504485782i
2668.12995767379-3225.68956173146i
19624.2700722538-10203.4310224834i
9634.49865637387-16474.2830082973i
4375.6023428865-2075.3251653283i
-3394.5107193385-911.266920010341i
1623.3214918954+1285.48318714999i
-2174.3753432476-1105.38837423654i
-24142.6792116122-5197.82880595535i
-1242.46882463581+20570.2640560755i
1050.46405471297+4825.54655528522i
-1216.94435675624-3715.72618287448i
-2761.37513759194+1952.33829216872i
3845.10189157061-1593.69475828162i
-194.042455215732-251.21367527826i
17004.8986515272+23886.4268192734i
-15887.9835203022-19273.7688475212i
-2881.33871712694+1107.57713188689i
4653.61201091592-2672.3950977666i
-5819.10079183461-1813.93723565184i
2880.3548389112+3494.98846687384i
-309.239986125252-5272.99282209395i
-3054.0124505711+1741.80578664272i
16113.8651852541-28305.2391480051i
32688.7752241711+1286.83462056245i
-4519.86421594853-856.864472967501i
5060.23979217564+5722.11227524344i
-1278.40705170418-7765.43799925893i
-4788.09917643906+5372.84996009652i
7173.6151555294-2545.78099871411i
-6849.91239116128-1219.7888599285i
6349.35842237686+5238.99373594303i
-33301.8886099065-24304.707501674i
13560.7676045746+42349.8743529088i
2414.24110250481-8574.13900046102i
-6393.57269954205+8600.87923632462i
9611.47485542245-4976.49618247105i
-10938.2422255842-3170.74467642947i
5921.75074333622+8138.5108364244i
-194.537238422387-11129.682296757i
-2989.04311734311+10235.5951989131i
1314.13114828144-5894.79380649578i
-6664.37328000543-343.295720904031i
-1951.32747749066+6210.61724697995i
13374.518826272+11415.4751944008i
-14510.1550425012-7545.61630694602i
10891.8748310903+11589.9575059618i
-2091.02040780638-15723.0031168428i
-9173.40970864426+11840.3980314077i
14861.0734882684-4753.08687768427i
-16322.1406121337-3279.65233038601i
17143.1957278087+4332.01984439685i
26235.894859453+50183.4541113556i
20.2384747141248+387.627128720194i
-335.653008240224-168.964041229441i
-43979.4082802428-35155.5256588704i
14216.7152915978-24192.0678042439i
-13580.008537923+20373.4919614382i
20122.3860541098-10331.3974517615i
-21527.3452841298-5824.1601544328i
12164.2199643886+17560.9162059402i
20.8857303079758-23811.7972244394i
-8261.79489960045+26047.8312151964i
-12630.0791891793-31487.3514838172i
